kernel,Duration (us),Memory Throughput (%),DRAM Throughput (%),L1/TEX Cache Throughput (%),L2 Cache Throughput (%),Compute (SM) Throughput (%),Achieved Occupancy (%),Theoretical Occupancy (%),Registers Per Thread,Grid Size,Waves Per SM,Block Size
kernel1,889.7,50.77,32.43,77.15,50.77,5.4,17.82,33.33,40.0,256.0,0.53,32
kernel2,228.38,75.05,75.05,23.48,27.16,19.7,35.28,33.33,39.0,8192.0,17.07,32
kernel3,200.19,82.77,82.77,21.04,30.93,9.9,30.8,33.33,37.0,8192.0,17.07,32
kernel4,205.95,82.03,82.03,23.33,30.83,6.82,31.39,33.33,40.0,8192.0,17.07,32
kernel5,214.14,75.97,75.97,27.02,30.19,29.01,31.6,33.33,39.0,8192.0,17.07,32
kernel6,210.72,78.92,78.92,21.2,30.81,6.03,30.18,33.33,51.0,480.0,1.0,32
kernel7_fp32,201.34,81.19,81.19,19.72,30.23,16.13,31.43,33.33,39.0,8192.0,17.07,32
kernel7_fp16,108.99,74.81,74.81,46.18,25.28,44.75,37.46,33.33,33.0,8192.0,17.07,32
kernel7_bf16,89.86,82.39,82.39,44.06,28.2,44.49,30.39,33.33,31.0,8192.0,17.07,32
